219,Russia,Россия
220,Ukraine,Украина
221,Belarus,Беларусь
222,Kazakhstan,Казахстан
223,Germany,Германия
224,Abkhazia,Абхазия
225,Australia,Австралия
226,Austria,Австрия
227,Azerbaijan,Азербайджан
228,Albania,Албания
229,Algeria,Алжир
230,Angola,Ангола
231,Anguilla,Ангуилья
232,Andorra,Андорра
233,Antigua and Barbuda,Антигуа и Барбуда
234,Netherlands Antilles,Антильские о-ва
235,Argentina,Аргентина
236,Armenia,Армения
237,Aruba,Арулько
238,Afghanistan,Афганистан
239,Bahamas,Багамские о-ва
240,Bangladesh,Бангладеш
241,Barbados,Барбадос
242,Bahrain,Бахрейн
243,Belize,Белиз
244,Belgium,Бельгия
245,Benin,Бенин
246,Bermuda,Бермуды
247,Bulgaria,Болгария
248,Bolivia,Боливия
249,Bosnia and Herzegovina,Босния/Герцеговина
250,Botswana,Ботсвана
251,Brazil,Бразилия
252,British Virgin Islands,Британские Виргинские о-ва
253,Brunei,Бруней
254,Burkina Faso,Буркина Фасо
255,Burundi,Бурунди
256,Bhutan,Бутан
257,Wallis and Futuna,Валлис и Футуна о-ва
258,Vanuatu,Вануату
259,United Kingdom,Великобритания
260,Hungary,Венгрия
261,Venezuela,Венесуэла
262,East Timor,Восточный Тимор
263,Vietnam,Вьетнам
264,Gabon,Габон
265,Haiti,Гаити
266,Guyana,Гайана
267,Gambia,Гамбия
268,Ghana,Гана
269,Guadeloupe,Гваделупа
270,Guatemala,Гватемала
271,Guinea,Гвинея
272,Guinea-Bissau,Гвинея-Бисау
273,Guernsey,Гернси о-в
274,Gibraltar,Гибралтар
275,Honduras,Гондурас
276,Hong Kong,Гонконг
277,Grenada,Гренада
278,Greenland,Гренландия
279,Greece,Греция
280,Georgia,Грузия
281,Denmark,Дания
282,Jersey,Джерси о-в
283,Djibouti,Джибути
284,Dominican Republic,Доминиканская республика
285,Europa Island,Европы о-в
286,Egypt,Египет
287,Zambia,Замбия
288,Western Sahara,Западная Сахара
289,Zimbabwe,Зимбабве
290,Israel,Израиль
291,India,Индия
292,Indonesia,Индонезия
293,Jordan,Иордания
294,Iraq,Ирак
295,Iran,Иран
296,Ireland,Ирландия
297,Iceland,Исландия
298,Spain,Испания
299,Italy,Италия
300,Yemen,Йемен
301,Cape Verde,Кабо-Верде
302,Cambodia,Камбоджа
303,Cameroon,Камерун
304,Canada,Канада
305,Qatar,Катар
306,Kenya,Кения
307,Cyprus,Кипр
308,Kiribati,Кирибати
309,China,Китай
310,Colombia,Колумбия
311,Comoros,Коморские о-ва
312,Congo (Brazzaville),Конго (Brazzaville)
313,Congo (Kinshasa),Конго (Kinshasa)
314,Costa Rica,Коста-Рика
315,Cote D'Ivoire,Кот-д'Ивуар
316,Cuba,Куба
317,Kuwait,Кувейт
318,Cook Islands,Кука о-ва
319,Kyrgyzstan,Кыргызстан
320,Laos,Лаос
321,Latvia,Латвия
322,Lesotho,Лесото
323,Liberia,Либерия
324,Lebanon,Ливан
325,Libya,Ливия
326,Lithuania,Литва
327,Liechtenstein,Лихтенштейн
328,Luxembourg,Люксембург
329,Mauritius,Маврикий
330,Mauritania,Мавритания
331,Madagascar,Мадагаскар
332,Macedonia,Македония
333,Malawi,Малави
334,Malaysia,Малайзия
335,Mali,Мали
336,Maldives,Мальдивские о-ва
337,Malta,Мальта
338,Martinique,Мартиника о-в
339,Mexico,Мексика
340,Mozambique,Мозамбик
341,Moldova,Молдова
342,Monaco,Монако
343,Mongolia,Монголия
344,Morocco,Марокко
345,Myanmar (Burma),Мьянма (Бирма)
346,Isle of Man,Мэн о-в
347,Namibia,Намибия
348,Nauru,Науру
349,Nepal,Непал
350,Niger,Нигер
351,Nigeria,Нигерия
352,Netherlands,Нидерланды (Голландия)
353,Nicaragua,Никарагуа
354,New Zealand,Новая Зеландия
355,New Caledonia,Новая Каледония о-в
356,Norway,Норвегия
357,Norfolk Island,Норфолк о-в
358,United Arab Emirates,О.А.Э.
359,Oman,Оман
360,Pakistan,Пакистан
361,Panama,Панама
362,Papua New Guinea,Папуа Новая Гвинея
363,Paraguay,Парагвай
364,Peru,Перу
365,Pitcairn Islands,Питкэрн о-в
366,Poland,Польша
367,Portugal,Португалия
368,Puerto Rico,Пуэрто Рико
369,Reunion,Реюньон
370,Rwanda,Руанда
371,Romania,Румыния
372,United States,США
373,El Salvador,Сальвадор
374,Samoa,Самоа
375,San Marino,Сан-Марино
376,Sao Tome and Principe,Сан-Томе и Принсипи
377,Saudi Arabia,Саудовская Аравия
378,Swaziland,Свазиленд
379,Saint Lucia,Святая Люсия
380,Saint Helena,Святой Елены о-в
381,North Korea,Северная Корея
382,Seychelles,Сейшеллы
383,Saint Pierre and Miquelon,Сен-Пьер и Микелон
384,Senegal,Сенегал
385,Saint Kitts and Nevis,Сент Китс и Невис
386,Saint Vincent and the Grenadines,Сент-Винсент и Гренадины
387,Serbia,Сербия
388,Singapore,Сингапур
389,Syria,Сирия
390,Slovakia,Словакия
391,Slovenia,Словения
392,Solomon Islands,Соломоновы о-ва
393,Somalia,Сомали
394,Sudan,Судан
395,Suriname,Суринам
396,Sierra Leone,Сьерра-Леоне
397,Tajikistan,Таджикистан
398,Taiwan,Тайвань
399,Thailand,Таиланд
400,Tanzania,Танзания
401,Togo,Того
402,Tokelau,Токелау о-ва
403,Tonga,Тонга
404,Trinidad and Tobago,Тринидад и Тобаго
405,Tuvalu,Тувалу
406,Tunisia,Тунис
407,Turkmenistan,Туркменистан
408,Turks and Caicos Islands,Туркс и Кейкос
409,Turkey,Турция
410,Uganda,Уганда
411,Uzbekistan,Узбекистан
412,Uruguay,Уругвай
413,Faroe Islands,Фарерские о-ва
414,Fiji,Фиджи
415,Philippines,Филиппины
416,Finland,Финляндия
417,France,Франция
418,French Guiana,Французская Гвинея
419,French Polynesia,Французская Полинезия
420,Croatia,Хорватия
421,Chad,Чад
422,Montenegro,Черногория
423,Czech Republic,Чехия
424,Chile,Чили
425,Switzerland,Швейцария
426,Sweden,Швеция
427,Sri Lanka,Шри-Ланка
428,Ecuador,Эквадор
429,Equatorial Guinea,Экваториальная Гвинея
430,Eritrea,Эритрея
431,Estonia,Эстония
432,Ethiopia,Эфиопия
433,South Africa,ЮАР
434,South Korea,Южная Корея
435,South Ossetia,Южная Осетия
436,Jamaica,Ямайка
437,Japan,Япония
438,Macau,Макао
